mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/4	2	1		f.i6{	f	i		i6		i		6				{	m	1	1	-3, 1, 0		0	-3
2	2	0	0	3/4	2	1		V7/V	f	i		V7/V		V		7		V			Mm7	1	1	2, 6, 3, 0		2	2
2	2	1/2	1/2	3/4	2	1		Fr7	f	i		Fr7	Fr	V		7	b5	V			Fr	1	1	2, 6, -4, 0		2	2
3	3	0	0	3/4	2	1		V7/bV	f	i		V7/bV		V		7		bV			Mm7	1	1	-5, -1, -4, -7		-5	-5
3	3	1/2	1/2	3/4	2	1		ii%43/iv	f	i		ii%43/iv		ii	%	43		iv			%7	1	1	-5, -1, 1, -2		1	-5
4	4	0	0	3/4	2	1		V7/iv	f	i		V7/iv		V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
4	4	1/2	1/2	3/4	2	1		Fr7/VII	f	i		Fr7/VII	Fr	V		7	b5	V/VII			Fr	1	1	0, 4, -6, -2		0	0
5	5	0	0	3/4	2	1		viio43/V	f	i		viio43/V		vii	o	43		V			o7	1	1	0, -3, 6, 3		6	0
5	5	1/2	1/2	3/4	2	1		V7/#III	f	i		V7/#III		V		7		#III			Mm7	1	1	5, 9, 6, 3		5	5
6	6	0	0	3/4	2	1		#viio7	f	i		#viio7		#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
6	6	1/2	1/2	3/4	2	1		ii%2	f	i		ii%2		ii	%	2					%7	1	1	0, 2, -1, -4		2	0
7	7	0	0	3/4	2	1		#viio65(13)	f	i		#viio65(13)		#vii	o	65	13				o7	1	1	2, -1, -4, 5	1	5	2
7	7	3/8	3/8	3/4	2	1		#viio65	f	i		#viio65		#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
7	7	1/2	1/2	3/4	2	1		V7(6)	f	i		V7(6)		V		7	6				Mm7	1	1	1, 5, -3, -1		1	1
7	7	5/8	5/8	3/4	2	1		V7	f	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
8	8	0	0	3/4	2	1		i(4)}	f	i		i(4)		i			4			}	m	1	1	0, -1, 1		0	0
8	8	1/8	1/8	3/4	2	1		i	f	i		i		i							m	1	1	0, -3, 1		0	0
8	8	1/2	1/2	3/4	2	1		Ger43	f	i		Ger43	Ger	vii	o	43	b3	V			Ger	1	1	0, -3, 6, -4		6	0
9	9	0	0	3/4	2	1		i{	f	i		i		i						{	m	1	1	0, -3, 1		0	0
10	10	1/4	1/4	3/4	2	1		V7/V	f	i		V7/V		V		7		V			Mm7	1	1	2, 6, 3, 0		2	2
10	10	1/2	1/2	3/4	2	1		Fr7	f	i		Fr7	Fr	V		7	b5	V			Fr	1	1	2, 6, -4, 0		2	2
11	11	0	0	3/4	2	1		ii%7	f	i		ii%7		ii	%	7					%7	1	1	2, -1, -4, 0		2	2
